#grid point	p_iterations	c_iterations	p_convergence   	c_convergence   	P (bar)         	T(k)            	n_<H> (cm-3)    	n_g (cm-3)      	m(u)            	e-   	Al   	Ar   	C    	Ca   	Cl   	Co   	Cr   	Cu   	F    	Fe   	Ge   	H    	He   	K    	Mg   	Mn   	N    	Na   	Ne   	Ni   	O    	P    	S    	Si   	Ti   	V    	Zn   
0         	1         	3         	ok              	ok              	2.5360670000e-05	2.0008220000e+03	1.3676860258e+14	9.1805467361e+13	2.0364379132e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	1         	3         	ok              	ok              	2.3944820000e-05	1.9783730000e+03	1.3253493459e+14	8.7663675864e+13	2.0666360510e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	1         	3         	ok              	ok              	2.2610870000e-05	1.9609160000e+03	1.2754192351e+14	8.3516937333e+13	2.0875251334e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	1         	3         	ok              	ok              	2.0558060000e-05	1.9459640000e+03	1.1755041790e+14	7.6517999027e+13	2.0999738338e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	1         	3         	ok              	ok              	1.9050590000e-05	1.9335030000e+03	1.1018225372e+14	7.1364110512e+13	2.1104987770e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	1         	3         	ok              	ok              	1.7653660000e-05	1.9210420000e+03	1.0326852333e+14	6.6560132065e+13	2.1208360774e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	1         	3         	ok              	ok              	1.5750440000e-05	1.9085910000e+03	9.3026947969e+13	5.9771767160e+13	2.1274824563e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	1         	3         	ok              	ok              	1.4875810000e-05	1.8986210000e+03	8.8671826110e+13	5.6749053117e+13	2.1358971862e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	1         	3         	ok              	ok              	1.3022800000e-05	1.8861740000e+03	7.8320078510e+13	5.0007931819e+13	2.1408563681e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	1         	3         	ok              	ok              	1.1619560000e-05	1.8762180000e+03	7.0362918799e+13	4.4856218813e+13	2.1442454424e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	1         	3         	ok              	ok              	1.0567300000e-05	1.8712490000e+03	6.4114846112e+13	4.0902394456e+13	2.1427089429e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	1         	3         	ok              	ok              	9.4292460000e-06	1.8637890000e+03	5.7444767175e+13	3.6643462062e+13	2.1429265482e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	1         	3         	ok              	ok              	8.4132220000e-06	1.8538330000e+03	5.1618396784e+13	3.2870629178e+13	2.1465934768e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	1         	3         	ok              	ok              	7.9470340000e-06	1.8488550000e+03	4.8931849912e+13	3.1132822523e+13	2.1484559300e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
